day hour_minute battery_level
08-31 18:04 39
08-31 18:05 39
08-31 18:06 39
08-31 18:07 39
08-31 18:08 39
08-31 18:09 39
08-31 18:10 39
08-31 18:11 39
08-31 18:12 39
08-31 18:13 39
08-31 18:14 39
08-31 18:15 39
08-31 18:16 39
08-31 18:17 39
08-31 18:18 39
08-31 18:19 39
08-31 18:20 39
08-31 18:21 39
08-31 18:22 39
08-31 18:23 39
08-31 18:24 39
08-31 18:25 39
08-31 18:26 39
08-31 18:27 39
08-31 18:28 39
08-31 18:29 39
08-31 18:30 39
08-31 18:31 39
08-31 18:32 39
08-31 18:33 39
08-31 18:34 38
08-31 18:35 38
08-31 18:36 38
08-31 18:37 38
08-31 18:38 38
08-31 18:39 38
08-31 13:08 1
09-01 13:51 1
09-01 13:52 1
